T (K),P (Mpa)
273.7,2.77
274.3,2.9
275.4,3.24
275.9,3.42
275.9,3.43
277.1,3.81
279.3,4.77
280.4,5.35
280.9,5.71
281.5,6.06
282.6,6.77
284.3,8.12
285.9,9.78
295.7,33.99
295.9,35.3
301,64.81
302,77.5
285.7,9.62
286.3,10.31
286.1,10.1
285.7,9.62
289,13.96
292.1,21.13
295.9,34.75
298.7,48.68
300.9,62.4
301.6,68.09
290.2,15.9
290.5,15.9
295.2,30
295.1,29.9
295.8,33.8
298.1,44.3
298.2,43.8
300.2,56.9
301.6,65.4
301.6,65.4
306.7,110.8
310.3,152.7
312.7,187.3
313.7,206.3
314.2,223.9
273.2,2.65
277.6,4.17
280.4,5.58
284.7,8.67
287.3,11.65
288.9,14.05
291.7,20.11
294.3,28.57
283.2,7.1
283.2,7.12
288.7,13.11
288.7,13.11
275.2,3.02
276.7,3.69
278.6,4.385
288.5,13.04
285.4,9.191
290.7,16.96
291.2,18.55
240,3.45
240,6.9
240,10.34
250,3.45
250,10.34
260,3.45
260,6.9
260,10.34
270,3.45
270,6.9
270,10.34
273.3,2.69
275.4,3.34
276,3.34
279.5,5.04
281.3,6.04
282.8,7.04
284,8.05
285,9.04
286,10.04
275.4,2.87
276.2,3.37
277.2,3.9
278.2,4.5
279.2,4.9
281.2,6.1
273.4,2.68
274.6,3.05
276.7,3.72
278.3,4.39
279.6,5.02
280.9,5.77
282.3,6.665
283.6,7.59
284.7,8.55
285.7,9.17
286.4,10.57
190.2,0.08251
198.2,0.1314
208.2,0.222
218.2,0.3571
243.2,0.955
262.4,1.798
287,8
296.6,37
300.8,59
303.6,84
307.2,117
308.6,133
310.6,162
311,166
313.8,216
315.6,242
318.4,317
319,358
320,405
320.4,443
320.4,450
320.8,467
320.8,506
320.9,527
320.9,536
320.9,548
320.9,572
320.8,580
320.8,590
320.6,600
320.2,631
321.8,642
320,658
319,734
325.2,786
325,806
325.4,814
325.2,840
325.6,864
326.6,874
326,902
326.4,956
326.6,983
326.8,1000
305.08,98
307.13,119
308.74,138
310.29,158
311.64,178
312.92,199
313.88,217
314.83,237
315.74,258
316.5,277
317.2,299
318.29,335
319.17,376
319.8,414
320.33,455
320.54,493
274.25,2.92
275.25,3.22
276.22,3.55
277.24,3.92
278.24,4.33
279.23,4.79
280.24,5.31
281.24,5.89
281.73,6.2
282.23,6.53
282.73,6.88
283.25,7.25
283.74,7.65
284.26,8.1
284.76,8.55
285.25,9.03
285.78,9.54
278.1,5.79
278.1,8.12
278.2,8.89
278.2,10.44
278.2,11.18
278.1,11.53
278.2,13.76
278.1,16.02
278.1,16.54
278.1,19.29
278.1,19.35
273.1,4.98
273.1,5.2
273.1,7.85
273.1,8.42
273.1,11.63
273.1,12.28
273.1,13.5
273.1,14.81
278.15,6
274.15,10
278.15,10
282.15,10
274.15,15
278.15,15
282.15,15
286.15,15
274.15,20
278.15,20
282.15,20
286.15,20
274.35,3.5
275.45,3.5
276.25,3.5
278.65,3.5
280.45,3.5
274.15,5
277.35,5
279.65,5
281.55,5
282.65,5
275.25,6.5
280.15,6.5
282.05,6.5
283.25,6.5
284.35,6.5
278.1,5.79
278.1,8.12
278.2,8.89
278.2,10.44
278.2,11.18
278.1,11.53
278.2,13.76
278.1,16.02
278.1,16.54
278.1,19.29
278.1,19.35
273.1,4.98
273.1,5.2
273.1,7.85
273.1,8.42
273.1,11.63
273.1,12.28
273.1,13.5
273.1,14.81
262.4,1.79
264.2,1.9
266.5,2.08
268.6,2.22
270.9,2.39
