P(kPa),T(K)
2641,273.2
5847,280.9
10632,286.5
10804,286.7
1648,259
2641,273.2
2765,273.7
2903,274.3
3241,275.4
3420,275.9
3427,275.9
3813,277
4771,279.3
5350,280.4
5709,280.9
6060,281.5
6771,282.6
8122,284.3
9784,285.9
1793,262.4
1903,264.2
2082,266.5
2220,268.6
2392,270.9
33991,295.7
35301,295.9
64811,301
77497,302
101,244.2
2634,273.2
9618,285.7
10308,286.3
10101,286.1
9618,285.7
13962,289
21132,292.1
34750,295.9
48677,298.7
62398,300.9
68086,301.6
15927,290.2
15941,290.5
29992,295.2
29923,295.1
33750,295.8
44313,298
43782,298.2
56916,300.2
65431,301.5
65431,301.6
110833,306.7
152719,310.3
187296,312.7
206339,313.7
223907,314.2
7102,283.2
7115,283.2
13114,288.7
13107,288.7
2620.1,273.15
1737.54,260.9277778
1185.94,249.8166667
896.35,241.4833333
3020,274.6
4385,278.59
9191,285.39
13045,288.45
18554,291.16
5.33,148.8
12.13,159.9
21.06,168.8
42,178.2
90.13,191.3
6964,279.59
7067,280.02
7012,265.76
7033,265.65
6902,249.98
6902,249.96
10301,277.32
10239,277.18
10190,266.07
10273,265.93
10232,249.68
10439,249.26
8099,284.45
6632,282.55
4293,278.95
3890,278.35
3032,275.4
2688,274.75
2680,273.4
3050,274.6
3720,276.7
4390,278.3
5020,279.6
5770,280.9
6650,282.3
7590,283.6
8550,284.7
9170,285.7
10570,286.4
2780,273.43
3000,274.9
4200,277.95
5600,280.55
7500,283.25
9000,284.85
3450,276.1
4210,277.9
5170,280.2
6210,281.9
7310,283.4
8340,284.5
9580,285.4
82.51,190.15
131.4,198.15
221.9,208.15
357.1,218.15
995,243.15
1798,262.4
8000,287
37000,296.6
59000,300.8
84000,303.6
117000,307.2
133000,308.7
162000,310.7
166000,311
216000,313.9
242000,315.6
317000,318.4
358000,319.1
405000,320.1
443000,320.4
450000,320.4
707000,322.9
731000,324
786000,325.2
806000,325
814000,325.4
840000,325.2
864000,325.6
874000,325.7
902000,326.1
956000,326.4
983000,326.7
1000000,326.8
3021,274.6
4092,277.4
5401,280.05
5626,280.55
7426,283.3
9330,285.25
9350,285.35
2960,274.2
3270,275.2
3620,276.2
3960,277.4
4270,278.3
4760,279.4
5350,280.3
5880,281.3
6440,282.3
7220,283.3
8060,284.2
8960,285.2
4200,278.15
6800,283.75
8600,284.85
8600,285.15
9900,286.35
11600,287.25
16800,290.25
18600,291.15
2716,273.49
2961,274.36
3180,275.11
3564,276.29
3998,277.46
4244,278
4348,278.25
4733,279.1
5304,280.16
5822,281.12
6000,281.38
6428,282.07
7139,283.04
7430,283.39
7925,284.01
2482,273
3493,276.2
4426,278.8
5130,279.9
6205,281.9
8356,284.5
10000,285.45
10000,285.75
98000,305.08
119000,307.13
138000,308.74
158000,310.29
178000,311.64
199000,312.92
217000,313.88
237000,314.83
258000,315.74
277000,316.5
299000,317.2
335000,318.29
376000,319.17
414000,319.8
455000,320.33
3680,276.5
4190,278.5
4900,279.7
6070,281.3
6550,282.2
7130,283
7730,283.8
8330,284.5
9550,285.8
9660,286.3
1650,259.1
3266,274.65
3416,275.15
3416,275.15
4510,278.15
4510,278.15
5753,280.15
6361,281.15
3487,274.65
3887,275.15
3887,275.15
5087,278.15
5087,278.15
7087,280.15
7487,281.15
3187,274.65
3317,275.15
3317,275.15
4387,278.15
4387,278.15
5587,280.15
6213,281.15
4050,278.1
7410,283.8
14320,289.4
23110,292.8
29850,294.7
42220,297.3
48790,298.6
54710,299.3
62760,300.6
71430,301.9
72850,302.1
20190,291.86
22910,293.08
24230,293.46
30460,295.08
34280,295.94
43460,297.48
42350,297.58
45640,298.24
50450,298.68
65970,301.67
68720,302.7
72260,303.48
3680,276.5
4190,278.5
4900,279.7
6070,281.3
6550,282.2
7130,283
7730,283.8
8330,284.5
9550,285.8
9660,286.3
2324,268.4
2527,271.28
2338,268.44
2513,271.28
3700,275
5730,281.2
7330,283.6
7680,284
4729.76,278.85
2920,274.25
3220,275.25
3550,276.22
3920,277.24
4330,278.24
4790,279.23
5310,280.24
5890,281.24
6200,281.73
6530,282.23
6880,282.73
7250,283.25
7650,283.74
8100,284.26
8550,284.76
5426,280.5
7584,283.7
9584,285.7
10342,286.4
15837,289.9
3060,274.6
3446,276.2
17257,290.6
25841,293.6
34584,295.8
2.77,273.7
2.9,274.3
3.24,275.4
3.42,275.9
3.43,275.9
3.81,277.1
4.77,279.3
5.35,280.4
5.71,280.9
6.06,281.5
6.77,282.6
8.12,284.3
9.78,285.9
33.99,295.7
35.3,295.9
64.81,301
77.5,302
9.62,285.7
10.31,286.3
10.1,286.1
9.62,285.7
13.96,289
21.13,292.1
34.75,295.9
48.68,298.7
62.4,300.9
68.09,301.6
1.59,290.2
1.59,290.5
3,295.2
2.99,295.1
3.38,295.8
4.43,298.1
4.38,298.2
5.69,300.2
6.54,301.6
6.54,301.6
11.08,306.7
15.27,310.3
18.73,312.7
20.63,313.7
22.39,314.2
2.65,273.2
4.17,277.6
5.58,280.4
8.67,284.7
11.65,287.3
14.05,288.9
20.11,291.7
28.57,294.3
7.1,283.2
7.12,283.2
13.11,288.7
13.11,288.7
3.02,275.2
3.69,276.7
4.385,278.6
13.04,288.5
9.191,285.4
16.96,290.7
18.55,291.2
5.3,148.8
12.1,159.9
21.1,168.8
42,178.2
90.1,191.3
101.3,193.2
3.45,240
6.9,240
10.34,240
3.45,250
690,250
10.34,250
3.45,260
6.9,260
10.34,260
3.45,270
6.9,270
10.34,270
2.69,273.3
3.34,275.4
3.34,276
5.04,279.5
6.04,281.3
7.04,282.8
8.05,284
9.04,285
10.04,286
2.87,275.4
3.37,276.2
