P(kPa),T(K),xCH4O
2140,266.23,0.1
3410,271.24,0.1
5630,275.87,0.1
9070,280.31,0.1
13320,283.67,0.1
18820,286.4,0.1
2830,263.34,0.2
4200,267.51,0.2
5610,270.08,0.2
8410,273.55,0.2
13300,277.56,0.2
18750,280.17,0.2
2140,266.23,0.1
3410,271.24,0.1
5630,276,0.1
9070,280,0.1
13320,284,0.1
18820,286,0.1
2830,263.34,0.2
4200,267.51,0.2
5610,270.08,0.2
8410,273.55,0.2
13300,277.56,0.2
18750,280.17,0.2
1470,233.05,0.5
2950,240.05,0.5
7240,247.35,0.5
10540,250.35,0.5
16980,255.25,0.5
2380,250.85,0.35
3690,256.25,0.35
6810,260.25,0.35
10160,264.55,0.35
13680,267.75,0.35
17220,268.45,0.35
20510,270.05,0.35
4200,277.85,0.2
5000,279.65,0
16800,278.65,0.2
18000,291.45,0
24000,282.15,0.2
25500,293.85,0
35000,296.75,0
35900,285.25,0.2
36100,296.25,0
40500,297.25,0
43200,297.85,0
50500,286.95,0.2
54000,299.55,0
57000,288.45,0.2
57600,289,0.2
2410,271.8,0
2505,272.4,0
2520,272.5,0
3081,274.9,0
4156,278,0
5145,280.1,0
7505,283.6,0
10050,286.4,0
14940,289.7,0
19700,291.8,0
29840,295,0
39310,297.1,0
49960,299.2,0
2983,274.5,0.0057
3224,275.3,0.0057
