Sample,Pressure,%Paraffin,C1-C7,C8-C15,C16-C23,C24-C30,WAT
1,12000,26.625,9.7856,62.8858,22.3648,4.9638,53.4
1,10000,26.625,9.7856,62.8858,22.3648,4.9638,49.4
1,8000,26.625,9.7856,62.8858,22.3648,4.9638,46.6
1,6000,26.625,9.7856,62.8858,22.3648,4.9638,44.1
1,4000,26.625,9.7856,62.8858,22.3648,4.9638,40.8
1,3000,26.625,9.7856,62.8858,22.3648,4.9638,38.7
1,2560,26.625,9.7856,62.8858,22.3648,4.9638,37.5
1,1000,26.625,9.7856,62.8858,22.3648,4.9638,33.8
2,12000,14.826,23.1901,57.4403,16.1146,3.2549,35.5
2,4000,14.826,23.1901,57.4403,16.1146,3.2549,19.3
2,1405,14.826,23.1901,57.4403,16.1146,3.2549,18
2,1250,14.826,23.1901,57.4403,16.1146,3.2549,17.7
3,12000,19.128,29.0615,54.913,13.4305,2.5951,51.7
3,10000,19.128,29.0615,54.913,13.4305,2.5951,49.9
3,8000,19.128,29.0615,54.913,13.4305,2.5951,46.4
3,6000,19.128,29.0615,54.913,13.4305,2.5951,41.5
3,4000,19.128,29.0615,54.913,13.4305,2.5951,37.4
3,3000,19.128,29.0615,54.913,13.4305,2.5951,34.3
3,1000,19.128,29.0615,54.913,13.4305,2.5951,29
3,85,19.128,29.0615,54.913,13.4305,2.5951,26.1
4,10000,11.245,22.2649,57.4422,16.8165,3.4767,50.4
4,6000,11.245,22.2649,57.4422,16.8165,3.4767,40.4
4,3000,11.245,22.2649,57.4422,16.8165,3.4767,30.6
4,1000,11.245,22.2649,57.4422,16.8165,3.4767,23.2
4,70,11.245,22.2649,57.4422,16.8165,3.4767,19
5,10000,15.4,20.2603,64.1404,13.4413,2.1579,24.4
5,6000,15.4,20.2603,64.1404,13.4413,2.1579,22.3
5,3500,15.4,20.2603,64.1404,13.4413,2.1579,20.8
5,3000,15.4,20.2603,64.1404,13.4413,2.1579,20.5
5,1000,15.4,20.2603,64.1404,13.4413,2.1579,19.4
2,6000,14.826,23.1901,57.4403,16.1146,3.2549,23
2,8000,14.826,23.1901,57.4403,16.1146,3.2549,27
2,10000,14.826,23.1901,57.4403,16.1146,3.2549,31.4
5,9000,15.4,20.2603,64.1404,13.4413,2.1579,24
5,5000,15.4,20.2603,64.1404,13.4413,2.1579,21.7
5,2000,15.4,20.2603,64.1404,13.4413,2.1579,19.9
4,5000,11.245,22.2649,57.4422,16.8165,3.4767,37.2
4,2000,11.245,22.2649,57.4422,16.8165,3.4767,26.9
